序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
0,接收,14:56:11.020.0,0x00000001,数据帧,扩展帧,0x02,66 66 
1,接收,14:56:11.020.0,0x18140100,数据帧,扩展帧,0x02,00 01 
2,接收,14:56:11.020.0,0x1c060100,数据帧,扩展帧,0x01,0
3,接收,14:56:11.254.0,0x18140100,数据帧,扩展帧,0x02,00 01 
4,接收,14:56:11.254.0,0x18140100,数据帧,扩展帧,0x02,aa 01 
5,接收,14:56:11.254.0,0x1c060100,数据帧,扩展帧,0x01,aa 
6,接收,14:56:11.504.0,0x18140100,数据帧,扩展帧,0x02,aa 01 
7,接收,14:56:11.504.0,0x18140200,数据帧,扩展帧,0x02,00 02 
8,接收,14:56:11.504.0,0x1c060200,数据帧,扩展帧,0x01,0
9,接收,14:56:11.753.0,0x18140200,数据帧,扩展帧,0x02,00 02 
10,接收,14:56:11.753.0,0x18140200,数据帧,扩展帧,0x02,aa 02 
11,接收,14:56:11.753.0,0x1c060200,数据帧,扩展帧,0x01,aa 
12,接收,14:56:12.003.0,0x18140200,数据帧,扩展帧,0x02,aa 02 
13,接收,14:56:21.486.0,0x18130100,数据帧,扩展帧,0x08,01 f4 22 00 0a b2 01 00 
14,接收,14:56:21.845.0,0x18130100,数据帧,扩展帧,0x08,01 f4 22 00 0a b2 01 00 
15,接收,14:56:21.861.0,0x10040100,数据帧,扩展帧,0x01,aa 
16,接收,14:56:21.861.0,0x10040200,数据帧,扩展帧,0x01,aa 
17,接收,14:56:22.110.0,0x10040100,数据帧,扩展帧,0x01,aa 
18,接收,14:56:22.110.0,0x10040200,数据帧,扩展帧,0x01,aa 
19,接收,14:56:22.360.0,0x10040100,数据帧,扩展帧,0x01,aa 
20,接收,14:56:22.360.0,0x10040200,数据帧,扩展帧,0x01,aa 
21,接收,14:56:22.609.0,0x10040100,数据帧,扩展帧,0x01,aa 
22,接收,14:56:22.609.0,0x10040200,数据帧,扩展帧,0x01,aa 
23,接收,14:56:22.859.0,0x10040100,数据帧,扩展帧,0x01,aa 
24,接收,14:56:22.859.0,0x10040200,数据帧,扩展帧,0x01,aa 
25,接收,14:56:23.109.0,0x10040100,数据帧,扩展帧,0x01,aa 
26,接收,14:56:23.109.0,0x10040200,数据帧,扩展帧,0x01,aa 
27,接收,14:56:23.358.0,0x10040100,数据帧,扩展帧,0x01,aa 
28,接收,14:56:23.358.0,0x10040200,数据帧,扩展帧,0x01,aa 
29,接收,14:56:23.608.0,0x10040100,数据帧,扩展帧,0x01,aa 
30,接收,14:56:23.608.0,0x10040200,数据帧,扩展帧,0x01,aa 
31,接收,14:56:23.748.0,0x10160100,数据帧,扩展帧,0x02,aa 01 
32,接收,14:56:24.060.0,0x10160100,数据帧,扩展帧,0x02,aa 01 
33,接收,14:56:24.559.0,0x1c010200,数据帧,扩展帧,0x08,1f 52 00 0a 0f 3d 00 00 
34,接收,14:56:24.559.0,0x1c010100,数据帧,扩展帧,0x08,1f 54 00 00 0e 9b 00 00 
35,接收,14:56:25.573.0,0x1c010200,数据帧,扩展帧,0x08,3c 5a 00 28 0f 14 00 00 
36,接收,14:56:25.573.0,0x1c010100,数据帧,扩展帧,0x08,38 ef 00 00 0e e6 00 00 
37,接收,14:56:26.572.0,0x1c010200,数据帧,扩展帧,0x08,3c 38 00 00 0f 48 00 00 
38,接收,14:56:26.572.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
39,接收,14:56:27.570.0,0x1c010200,数据帧,扩展帧,0x08,3b ec 00 00 0f b7 00 00 
40,接收,14:56:27.570.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
41,接收,14:56:28.569.0,0x1c010200,数据帧,扩展帧,0x08,39 15 00 00 0f 8b 00 00 
42,接收,14:56:28.569.0,0x1c010100,数据帧,扩展帧,0x08,3a 7e 00 00 0e b8 00 00 
43,接收,14:56:29.567.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
44,接收,14:56:29.567.0,0x1c010200,数据帧,扩展帧,0x08,38 d6 00 00 0f 60 00 00 
45,接收,14:56:30.581.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
46,接收,14:56:30.581.0,0x1c010200,数据帧,扩展帧,0x08,3c 20 00 00 0f 4e 00 00 
47,接收,14:56:31.579.0,0x1c010100,数据帧,扩展帧,0x08,3a 86 00 00 0e ba 00 00 
48,接收,14:56:31.579.0,0x1c010200,数据帧,扩展帧,0x08,3c 14 00 00 0f 40 00 00 
49,接收,14:56:32.578.0,0x1c010100,数据帧,扩展帧,0x08,3a 8c 00 00 0e b4 00 00 
50,接收,14:56:32.578.0,0x1c010200,数据帧,扩展帧,0x08,39 d4 00 00 0f 98 00 00 
51,接收,14:56:33.576.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
52,接收,14:56:33.576.0,0x1c010200,数据帧,扩展帧,0x08,3b b4 00 00 0f 73 00 00 
53,接收,14:56:34.575.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
54,接收,14:56:34.575.0,0x1c010200,数据帧,扩展帧,0x08,38 3c 00 28 0e f9 00 00 
55,接收,14:56:35.573.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
56,接收,14:56:35.573.0,0x1c010200,数据帧,扩展帧,0x08,3b 03 00 28 0f 23 00 00 
57,接收,14:56:36.572.0,0x1c010100,数据帧,扩展帧,0x08,3a 84 00 00 0e bc 00 00 
58,接收,14:56:36.572.0,0x1c010200,数据帧,扩展帧,0x08,3b 44 00 28 0f 29 00 00 
59,接收,14:56:37.570.0,0x1c010100,数据帧,扩展帧,0x08,3a 7d 00 00 0e ba 00 00 
60,接收,14:56:37.570.0,0x1c010200,数据帧,扩展帧,0x08,3b 33 00 00 0f d1 00 00 
